"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","32","Possible God Class (WMC=47, ATFD=290, TCC=3.333%)","Design","GodClass"
"2","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","79","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","82","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","86","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","170","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","233","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","240","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"8","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","254","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"9","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","255","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"10","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","304","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"11","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","310","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"12","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","319","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
