"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","79","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","82","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","86","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","170","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","383","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","400","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","432","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"8","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","470","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"9","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","499","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"10","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","517","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"11","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","552","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"12","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","581","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
