GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,CSVStreamConnector,414,0,38,0,101,0,46,0,27,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,StreamUserPushResultHandler,74,0,0,0,13,0,2,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,StreamPullJobDelegate,479,0,23,0,102,0,24,0,12,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,StreamAnyObjectPushResultHandler,74,0,0,0,13,0,2,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,StreamPushJobDelegate,322,0,13,0,69,0,16,0,9,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.pushpull.stream,StreamGroupPushResultHandler,74,0,0,0,13,0,2,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.job.notification,NotificationJob,85,0,2,0,24,0,6,0,5,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.job.notification,AbstractNotificationJobDelegate,477,0,40,0,94,0,28,0,8,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.job.notification,MailNotificationJobDelegate,111,0,5,0,24,0,5,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.job.notification,NotificationJob.Status,15,0,0,0,3,0,1,0,1,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,RoleDataBinderImpl,108,0,2,0,23,0,7,0,6,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,DelegationDataBinderImpl,182,0,6,0,40,0,13,0,10,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyDataBinder,2315,0,160,0,423,0,164,0,83,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,PolicyDataBinderImpl,871,0,78,0,181,0,63,0,24,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,ResourceDataBinderImpl,1422,0,153,0,323,0,103,0,26,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,NotificationDataBinderImpl,353,0,18,0,82,0,22,0,13,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyTypeDataBinderImpl,299,0,14,0,61,0,20,0,13,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,ConnInstanceDataBinderImpl,516,0,20,0,104,0,25,0,15,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyObjectDataBinderImpl,376,0,18,0,81,0,18,0,9,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,FIQLQueryDataBinderImpl,106,0,4,0,27,0,8,0,6,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,ImplementationDataBinderImpl,260,0,23,0,72,0,19,0,7,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,RemediationDataBinderImpl,77,0,6,0,21,0,6,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,UserDataBinderImpl,1247,0,71,0,258,0,77,0,41,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AbstractExecutableDatabinder,16,0,0,0,4,0,3,0,3,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,OIDCOpEntityDataBinderImpl,239,0,7,0,58,0,10,0,6,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AccessTokenDataBinderImpl,334,0,10,0,78,0,14,0,9,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,ReportDataBinderImpl,219,0,6,0,54,0,9,0,6,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AuthProfileDataBinderImpl,118,0,0,0,29,0,4,0,4,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,SRARouteDataBinderImpl,123,0,6,0,32,0,6,0,3,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyTypeDataBinderImpl.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AttrRepoDataBinderImpl,249,0,12,0,69,0,15,0,9,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyTypeDataBinderImpl.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,RealmDataBinderImpl,974,0,44,0,170,0,68,0,46,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AnyTypeClassDataBinderImpl,209,0,10,0,50,0,14,0,9,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AttributableDataBinder,315,0,33,0,74,0,30,0,13,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,AuditDataBinderImpl,17,0,0,0,5,0,2,0,2,0
Apache Syncope Core Provisioning Java,org.apache.syncope.core.provisioning.java.data,SecurityQuestionDataBinderImpl,37,0,0,0,12,0,4,0,4,0
