GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Syncope Core Spring,org.apache.syncope.core.spring.task,VirtualThreadPoolTaskExecutor,82,0,2,0,22,0,10,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.task,VirtualThreadPoolTaskExecutor.new AbstractExecutorService() {...},50,0,6,0,10,0,10,0,7,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DefaultEncryptorManager,40,0,2,0,7,0,5,0,4,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeBasicAuthenticationEntryPoint,48,0,4,0,14,0,4,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityContext,171,0,8,0,37,0,22,0,18,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthDataAccessor.UsernamePasswordAuthResult,29,0,4,0,2,0,4,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthContextUtils,266,0,14,0,62,0,25,0,18,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTAuthentication,199,0,8,0,48,0,17,0,13,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecureRandomUtils,145,0,6,0,31,0,14,0,11,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthDataAccessor,1442,0,106,0,290,0,104,0,51,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider,102,0,2,0,23,0,10,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetailsSource,8,0,0,0,2,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DelegatedAdministrationException,28,0,0,0,5,0,4,0,4,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,PasswordGenerator,188,0,30,0,34,0,18,0,3,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SingleEntitlementException,9,0,0,0,4,0,2,0,2,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTSSOProvider.ResolvedClaims,9,0,0,0,1,0,1,0,1,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityProperties,132,0,0,0,49,0,29,0,29,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DefaultPasswordGenerator,399,0,44,0,76,0,40,0,18,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,UsernamePasswordAuthenticationProvider,237,0,12,0,51,0,14,0,8,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,MSEntraJWTSSOProvider,123,0,12,0,26,0,12,0,6,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,JWTAuthenticationFilter,189,0,16,0,46,0,13,0,5,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityProperties.ThrottleProperties,43,0,0,0,17,0,9,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,DefaultEncryptor,329,0,40,0,79,0,29,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityProperties.AuthenticationErrorProperties,23,0,0,0,9,0,5,0,5,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetails,93,0,8,0,31,0,11,0,7,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SecurityProperties.DigesterProperties,53,0,0,0,21,0,11,0,11,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SinglePurposeEntitlementFilter.Setting,15,0,0,0,1,0,1,0,1,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,SyncopeGrantedAuthority,103,0,6,0,32,0,12,0,9,0
Apache Syncope Core Spring,org.apache.syncope.core.spring.security,AuthDataAccessor.JWTAuthResult,9,0,0,0,1,0,1,0,1,0
