"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","219","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","282","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","289","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","304","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","342","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","374","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","398","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"8","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","431","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"9","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","437","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"10","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","447","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"11","org.apache.syncope.core.provisioning.java","core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","514","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
